번호,원문,수정본,주제,수정유형,수정본글자수
303,"한 해동안 공부, 생활 관리를 넘어서 정말 많은 부분에서 도움을 받은 것 같아서 애틋한 마음이 드네요.",체계적인 생활 관리가 있어 흐트러지기 쉬운 시기에도 꾸준한 공부 습관을 유지할 수 있었어요.,attendance,주제 유지 후 길이·표현 통일,51
304,스마트폰은 통제하기 어렵고 가장 큰 방해가 되는 요인인데 아예 휴대폰을 제출하였기에 집중도에 큰 도움을 받았어요.,스스로 통제하기 어려웠던 휴대폰 사용을 관리해주셔서 공부 흐름을 꾸준히 유지할 수 있었어요.,phone,주제 유지 후 길이·표현 통일,51
305,"처음 해보는 재수 생활이라 시간 관리, 생활 관리에 어려움을 겪었는데 베테랑 선생님들이 계셔서 뭐든 물어볼 수 있었어요.",출결과 생활 관리가 체계적으로 이루어져 나태해지지 않고 규칙적인 학습 습관을 유지할 수 있었어요.,attendance,주제 유지 후 길이·표현 통일,54
306,매일 학습 환경을 관리해주시고 학습에 대한 상담을 진행해주신 덕분에 수능에 온전히 집중할 수 있었어요.,현재 학습 상황에 맞춘 현실적인 조언을 받아 계획을 수정하고 실천하는 데 도움이 되었어요.,consult,주제 유지 후 길이·표현 통일,50
307,철저한 출결 및 생활 관리 시스템 덕분에 나태해지지 않고 꾸준히 순공 시간을 달성했어요.,등·하원과 생활 패턴을 꾸준히 관리해주셔서 하루를 계획적으로 보내고 공부 리듬을 잡을 수 있었어요.,attendance,주제 유지 후 길이·표현 통일,55
308,"저 역시 6모를 보고 생각보다 성적이 오르지 않았다고 느꼈는데, 그럴 때마다 담임 선생님과의 학습 상담이 큰 도움이 되었어요.",실전처럼 모의고사를 치르고 상담을 받으면서 시간 관리와 문제 풀이 전략을 점검할 수 있었어요.,mock,주제 유지 후 길이·표현 통일,52
309,상담 덕분에 학습 방향을 결정하고 동기를 부여하는 데 매우 도움이 되었고 멘탈 관리도 잘 되었어요.,정기적인 상담을 통해 제 학습 상태를 객관적으로 돌아보고 필요한 공부 방향을 구체적으로 잡을 수 있었어요.,consult,주제 유지 후 길이·표현 통일,59
310,"매일 아침 밝은 모습으로 맞아주시고, 엄격하면서도 애정 어린 생활 관리로 제가 올바른 학습 습관을 형성할 수 있도록 도와주셔서 감사했어요.",생활 관리 시스템 덕분에 지각과 결석을 줄이고 학원에서의 학습 시간을 안정적으로 확보할 수 있었어요.,attendance,주제 유지 후 길이·표현 통일,56
311,기숙학원의 규칙적이고 체계적인 생활 관리 덕에 오로지 공부에만 집중할 수 있어 좋았어요.,정해진 시간표에 맞춰 생활하다 보니 수험 생활에 필요한 규칙성과 책임감이 자연스럽게 생겼어요.,attendance,주제 유지 후 길이·표현 통일,52
312,플래너 쓰는 것도 어려워하던 저에게 공부 계획을 어떻게 체계적이고 효율적이게 세울 수 있는지를 알려주셨었어요.,선생님의 피드백을 바탕으로 과목별 학습 비중을 조절하며 균형 있게 공부할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
313,항상 요청 사항 잘 들어주시고 공부에 집중할 수 있도록 환경 마련해주셔서 감사했어요.,주변 학생들도 함께 집중하는 환경이라 스스로 흐트러지지 않고 꾸준히 공부할 수 있었어요.,atm,주제 유지 후 길이·표현 통일,49
314,이투스 재수학원의 학습 플래너 관리는 나태해지기 쉬운 수험 생활에서 공부의 중심을 잡아주는 역할을 했어요.,계획을 세우고 실천 여부를 확인하는 과정이 있어 하루를 더 밀도 있게 보낼 수 있었어요.,planner,주제 유지 후 길이·표현 통일,49
315,항상 신경써주시고 잘 챙겨주시고 공부환경에 대해서 많이 배려해주셔서 감사해요.,체계적으로 관리되는 자습 분위기 덕분에 학원에 오면 자연스럽게 공부 모드로 전환됐어요.,atm,주제 유지 후 길이·표현 통일,48
316,"플래너 관리를 통해 규칙적인 학원 생활을 만들 수 있었고, 모의고사에서 여러 루틴을 시도해 저에게 맞는 루틴을 찾을 수 있었어요.",플래너 점검과 피드백을 통해 하루 공부량과 과목별 우선순위를 체계적으로 정리할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,51
317,학습 상태에 따른 적절한 교재 및 인강을 추천해주셨고 매달 월간 계획을 세우면서 과목별 시간 분배와 진도를 체계적으로 세울 수 있었어요.,매일 플래너를 확인받으며 계획을 실천하는 습관이 생겨 학습 루틴을 안정적으로 유지했어요.,planner,주제 유지 후 길이·표현 통일,49
318,현역 고3때 공부할때는 계획 짜는것이 의미 없다고 생각되어서 플래너를 따로 작성하지 않았어요.,학습 계획을 구체적으로 세우고 점검받으면서 막연했던 공부 방향을 명확히 잡을 수 있었어요.,planner,주제 유지 후 길이·표현 통일,50
319,담당 과목 선생님들께서 상주하시면서 매주 학습상담과 질의응답을 받아주셔서 정말 좋았어요.,담당 선생님들이 교재와 강의 선택까지 함께 고민해주셔서 더 효율적으로 학습할 수 있었어요.,mentor,주제 유지 후 길이·표현 통일,50
320,이로 인해서 재미있는 수험생활을 이어갈 수 있었어요.,"학습 계획, 생활 관리, 상담이 함께 이루어져 혼자 공부할 때보다 훨씬 체계적으로 생활할 수 있었어요.",general,주제 유지 후 길이·표현 통일,57
321,"확실히 공부하는 곳 내에서 조용하고 적절한 온도, 쾌적한 환경이 뒷받침 되니 공부 집중도가 향상됨을 느낄 수 있었어요.",면학 분위기 관리가 꾸준히 이루어져 긴장감과 안정감을 함께 느끼며 공부할 수 있었어요.,atm,주제 유지 후 길이·표현 통일,48
322,엄격하지만 따뜻한 면학 분위기 속에서 오직 학습에만 100% 몰입할 수 있었어요.,공부에 방해되는 요소가 줄어든 환경이라 하루 학습 시간을 더 효과적으로 활용할 수 있었어요.,atm,주제 유지 후 길이·표현 통일,51
323,입시설명회 등 입시정보를 많이 얻을 수 있는 자리를 만들어주어서 경험과 정보를 쌓는 데에 많은 도움이 되었어요.,"성적표를 바탕으로 현재 위치를 확인하고, 필요한 과목을 우선적으로 보완할 수 있었어요.",mock,주제 유지 후 길이·표현 통일,48
324,스스로 통제하기 어려운 상황에서도 외부적인 관리가 이루어지니 흐트러짐을 줄일 수 있었어요.,개인별 상황에 맞춘 관리와 피드백 덕분에 공부 방향을 잡고 꾸준히 실천할 수 있었어요.,general,주제 유지 후 길이·표현 통일,48
325,추가로 특정 과목이 힘들었을 때 담임선생님께서 특정 과목 담당 선생님께 학습 관련 상담을 요청해 주셔서 막막함을 해결할 수 있었던 점도 좋았어요.,담임 선생님의 학습 상담과 멘탈 케어 덕분에 흔들릴 때마다 다시 마음을 잡고 공부할 수 있었어요.,consult,주제 유지 후 길이·표현 통일,54
326,이투스247의 체계적인 관리와 편한 질의응답 시스템에 정말 많은 도움을 받았고 덕분에 원하던 의대에 합격해 정말 재밌게 학교생활 하고있었어요.,필요한 과목에 대해 구체적인 학습 방법과 자료를 추천받아 공부 방향을 잡는 데 큰 도움이 되었어요.,mentor,"주제 유지 후 길이·표현 통일, 실명/지점/특정 정보 제거",55
327,담임선생님들이 계셔서 학습 외적인 부분에서도 도움을 받을 수 있다는 점이 좋았어요.,상담 과정에서 제 상황에 맞는 조언을 받을 수 있어 수험 생활을 더 안정적으로 이어갈 수 있었어요.,consult,주제 유지 후 길이·표현 통일,55
328,"플래너에서 부족한 부분을 찾아 보충하도록 도움을 주시고, 자세한 교재와 인강도 함께 추천해주셔서 도움을 많이 받았어요.",플래너 관리를 통해 부족한 부분을 확인하고 다음 학습 계획에 바로 반영할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
329,일단 너무 어렵지 않아서 좋았고 성적이 담임 선생님께 공개가 되니깐 더 책임감?요.,입시 상담과 성적 관리가 함께 이루어져 목표에 맞는 전략을 세우는 데 도움이 되었어요.,mock,"주제 유지 후 길이·표현 통일, 구어체/부적절 표현 정리",48
330,"매주 과목별 학습 계획을 직접 짜고 선생님께 검사받는 구조라서, 스스로 공부 방향을 잡는 데 확실히 효과가 있었어요.",주간 계획과 일일 계획을 함께 점검받아 공부 시간을 더 효율적으로 사용할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
331,매일 작성하는 플래너를 담임 선생님이 직접 점검해 주시니 계획의 실천력이 확실히 달라졌었어요.,선생님의 피드백을 바탕으로 과목별 학습 비중을 조절하며 균형 있게 공부할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
332,"연락 드렸어야 했는데 깜빡했습니다…^^;;7 원장님, 확실히 정신 못 차린 놈 사람 만들어주셔서 정말 감사했어요.",항상 관심을 가지고 응원해주신 덕분에 지치지 않고 목표를 향해 꾸준히 나아갈 수 있었어요.,thanks,"주제 유지 후 길이·표현 통일, 실명/지점/특정 정보 제거, 구어체/부적절 표현 정리",50
333,"이투스247에서 학습계획이랑 플래너 관리가 유용했던 건, 그냥 “공부해라”가 아니라 뭘 얼마나 어떻게 해야 하는지를 계속 보이게 만들어준다는 점이었어요.",계획을 세우고 실천 여부를 확인하는 과정이 있어 하루를 더 밀도 있게 보낼 수 있었어요.,planner,"주제 유지 후 길이·표현 통일, 구어체/부적절 표현 정리",49
334,"덕분에 서울에 상경해서 즐거운 대학 생활을 즐기고 있는데, 부산에 가게 될 일이 있으면 찾아뵙겠었어요.",학습 환경과 상담의 도움으로 목표를 향해 끝까지 집중하며 좋은 변화를 만들 수 있었어요.,outcome,"주제 유지 후 길이·표현 통일, 실명/지점/특정 정보 제거",49
335,학습 관리 시스템은 학습 중 딴짓을 하지 않도록 환경을 만들어 주어 집중력을 유지하는 데 큰 도움이 되었어요.,면학 분위기가 잘 조성되어 있어 학원에 있는 동안 자연스럽게 공부에 몰입할 수 있었어요.,atm,주제 유지 후 길이·표현 통일,49
336,"정해진 시간표와 출결 관리 덕분에 규칙적인 생활을 할 수 있었고, 자연스럽게 공부에 집중하는 환경이 만들어졌었어요.",플래너 점검과 피드백을 통해 하루 공부량과 과목별 우선순위를 체계적으로 정리할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,51
337,이러한 상담 시스템에 도움을 입어 논술 전략이나 성적 전략을 구체적으로 계획할 수 있어서 좋았어요.,매일 플래너를 확인받으며 계획을 실천하는 습관이 생겨 학습 루틴을 안정적으로 유지했어요.,planner,주제 유지 후 길이·표현 통일,49
338,우선 매너타임이라는 시스템을 통해 특정 시간대에 자습실에서 학생들의 이동 소음에 신경쓰이지 않고 다같이 집중 할 수 있는 공부 환경을 제공해주셨어요.,조용하고 집중된 학습 환경 덕분에 주변에 흔들리지 않고 공부 시간을 밀도 있게 보낼 수 있었어요.,atm,주제 유지 후 길이·표현 통일,54
339,학습과정에 있어서 불편하거나 막히는 부분이 있을 때마다 말씀드리면 항상 빠르게 수용해주시고 상황에 맞춰 자세하고 친절하게 상담해주셨었어요.,학습과 생활 전반을 함께 상담해주셔서 공부 외적인 불안까지 정리하고 집중력을 회복할 수 있었어요.,consult,주제 유지 후 길이·표현 통일,54
340,선생님 본인의 수험생활에서 효과를 보셨던 방법들부터 선배님들의 방법까지 소개해주셔서 도움이 많이 됐어요.,학원 생활 전반이 체계적으로 관리되어 학습 습관을 만들고 유지하는 데 큰 도움이 되었어요.,general,주제 유지 후 길이·표현 통일,50
341,내가 사탐런 반수생이라 사탐을 하나도 모르는 채로 들어왔으나 탐구원정대 시스템으로 사탐 개념을 빠르게 익힐 수 있었어요.,공부에 필요한 환경과 상담이 함께 제공되어 수험 생활을 안정적으로 이어갈 수 있었어요.,general,"주제 유지 후 길이·표현 통일, 실명/지점/특정 정보 제거",48
342,"자신이 어디까지 공부했고 어디가 부족한지 표시하여 그다음날 무엇을 더집중적으로 하고, 또 무엇을 보충할지 등 더 체계적으로 공부할 수 있었어요.",엄격하지만 따뜻한 분위기 속에서 공부에만 집중할 수 있어 수험 생활에 큰 도움이 되었어요.,atm,주제 유지 후 길이·표현 통일,50
343,휴대폰을 등교때 제출함으로써 집중력 분산도 안되고 온전히 공부에만 집중할수있는 환경이 만들어졌었어요.,입실 후 휴대폰을 관리하는 시스템 덕분에 학원에 있는 동안 집중력을 지킬 수 있었어요.,phone,주제 유지 후 길이·표현 통일,48
344,이투스247의 학습 계획 및 플래너 상담 시스템을 통해 더 계획적이고 정교한 수험 생활을 이어갈 수 있었어요.,학습 계획을 구체적으로 세우고 점검받으면서 막연했던 공부 방향을 명확히 잡을 수 있었어요.,planner,주제 유지 후 길이·표현 통일,50
345,담임 선생님의 세심한 멘탈 케어와 학습 상담이 수험 생활의 큰 버팀목이 되었어요.,혼자 고민하던 부분을 상담으로 정리할 수 있어 학습 방향을 잡는 데 큰 도움이 되었어요.,consult,주제 유지 후 길이·표현 통일,49
346,면학분위기 조성으로 학원에 있는 동안에는 공부에만 집중할 수 있었어요.,주변 학생들도 함께 집중하는 환경이라 스스로 흐트러지지 않고 꾸준히 공부할 수 있었어요.,atm,주제 유지 후 길이·표현 통일,49
347,매주 학습계획표를 짜서 학습 하는 과정이 수월했어요.,플래너 관리를 통해 부족한 부분을 확인하고 다음 학습 계획에 바로 반영할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
348,면학 분위기 감독과 졸음 관리는 학습 집중도를 유지하는 데 큰 도움이 되었어요.,공부 중 졸릴 때마다 적절히 관리해주신 덕분에 순공 시간을 지키고 집중력을 유지할 수 있었어요.,sleep,주제 유지 후 길이·표현 통일,53
349,온라인으로 미리 예약한 후 질의응답하는 시스템을 통해 1분 1초가 아까운 수험생활에서 시간을 허비할 일이 없어서 좋았어요.,질문이 생겼을 때 빠르게 도움을 받을 수 있어 어려운 부분을 오래 미루지 않고 해결할 수 있었어요.,mentor,주제 유지 후 길이·표현 통일,55
350,더불어 수능과 동일한 시간표에 맞춰 생활 패턴을 관리할 수 있어 불필요한 시간 낭비 없이 학습에 집중할 수 있었어요.,주간 계획과 일일 계획을 함께 점검받아 공부 시간을 더 효율적으로 사용할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
351,"단순한 관리가 아니라, 공부의 방향을 잡아준다는 점에서 상담의 도움이 컸다고 느낀었어요.",선생님과 꾸준히 이야기를 나누며 슬럼프를 극복하고 다시 공부에 몰입할 수 있었어요.,consult,주제 유지 후 길이·표현 통일,46
352,그렇게 상담을 할 때마다 나름대로의 동기부여도 되었던 것 같았어요.,현재 학습 상황에 맞춘 현실적인 조언을 받아 계획을 수정하고 실천하는 데 도움이 되었어요.,consult,주제 유지 후 길이·표현 통일,50
353,모의고사와 플래너를 함께 피드백해주셔서 앞으로의 방향을 가르쳐주신 점이 도움이 되었어요.,선생님의 피드백을 바탕으로 과목별 학습 비중을 조절하며 균형 있게 공부할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
354,상담을 통해 또는 스스로 세운 계획을 얼마나 잘 지키고 있는지 점검함을 통해 학습관리를 잘 해주신 부분이 좋았어요.,계획을 세우고 실천 여부를 확인하는 과정이 있어 하루를 더 밀도 있게 보낼 수 있었어요.,planner,주제 유지 후 길이·표현 통일,49
355,멘토 선생님께서 직접 진도를 관리해 주셔서 이러한 문제를 해결할 수 있었어요.,과목별 학습 상담을 통해 부족한 단원과 유형을 파악하고 공부 계획에 반영할 수 있었어요.,mentor,주제 유지 후 길이·표현 통일,49
356,매일 플래너를 점검받고 피드백을 얻으면서 완벽한 학습 루틴을 만들 수 있었어요.,플래너 점검과 피드백을 통해 하루 공부량과 과목별 우선순위를 체계적으로 정리할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,51
357,학원에서 생활하면서 전반적으로 체계적인 관리와 분위기 덕분에 공부에 집중할 수 있었던 점이 좋았어요.,체계적으로 관리되는 자습 분위기 덕분에 학원에 오면 자연스럽게 공부 모드로 전환됐어요.,atm,주제 유지 후 길이·표현 통일,48
358,"처음 상담 받으러 갔을 때부터 수능 전 마지막 이투스 모의고사 날까지 항상 관심을 가져주신 원장쌤, 아직 그때 주셨던 10000원 신권 가지고 있었어요.",모의고사 이후 성적과 취약점을 함께 점검하며 다음 학습 방향을 구체적으로 세울 수 있었어요.,mock,"주제 유지 후 길이·표현 통일, 실명/지점/특정 정보 제거, 구어체/부적절 표현 정리",51
359,"수능이 끝난 후 지금 돌아보면, 계속 주요과목에만 집중하는 루틴을 가져갔다면 수능에서 좋은 성적을 받지 못했을 것이라고 생각했어요.",체계적인 생활 관리가 있어 흐트러지기 쉬운 시기에도 꾸준한 공부 습관을 유지할 수 있었어요.,attendance,주제 유지 후 길이·표현 통일,51
360,나도 모르게 졸았을 때 감독선생님께서 깨워주셔서 계속 학업에 집중할 수 있었어요.,잠이 많아 걱정이었는데 생활 관리와 졸음 지도를 통해 규칙적인 학습 루틴을 만들 수 있었어요.,sleep,주제 유지 후 길이·표현 통일,52
361,학원에서 제공하는 학습계획 플래너 관리를 받으면서 공부의 질이 완전히 달라졌었어요.,매일 플래너를 확인받으며 계획을 실천하는 습관이 생겨 학습 루틴을 안정적으로 유지했어요.,planner,주제 유지 후 길이·표현 통일,49
362,저에겐 일상생활에 생긴 일에 대해 상담해주는 코칭 시스템이 주변환경의 짐을 덜어주고 공부에게만 집중하게 도와주었다고 생각했어요.,정기적인 상담을 통해 제 학습 상태를 객관적으로 돌아보고 필요한 공부 방향을 구체적으로 잡을 수 있었어요.,consult,주제 유지 후 길이·표현 통일,59
363,철저한 출결 및 생활 관리 시스템 덕분에 나태해지지 않고 꾸준히 순공 시간을 달성했어요.,출결과 생활 관리가 체계적으로 이루어져 나태해지지 않고 규칙적인 학습 습관을 유지할 수 있었어요.,attendance,주제 유지 후 길이·표현 통일,54
364,그렇지만 시스템적으로 부모님께 공개되다 보니 자의적으로 계획을 세우면서 체계적으로 공부했어요.,학습 계획을 구체적으로 세우고 점검받으면서 막연했던 공부 방향을 명확히 잡을 수 있었어요.,planner,주제 유지 후 길이·표현 통일,50
365,엄격하지만 따뜻한 면학 분위기 속에서 오직 학습에만 100% 몰입할 수 있었어요.,면학 분위기 관리가 꾸준히 이루어져 긴장감과 안정감을 함께 느끼며 공부할 수 있었어요.,atm,주제 유지 후 길이·표현 통일,48
366,매달 진행된 상담과 피드백을 통해 제 현재 상태를 객관적으로 파악하고 부족한 부분을 보완할 수 있어 많은 도움이 되었어요.,담임 선생님의 학습 상담과 멘탈 케어 덕분에 흔들릴 때마다 다시 마음을 잡고 공부할 수 있었어요.,consult,주제 유지 후 길이·표현 통일,54
367,이투스247의 학습계획이랑 플래너 관리도 도움이 많이 됐어요.,플래너 관리를 통해 부족한 부분을 확인하고 다음 학습 계획에 바로 반영할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
368,"분위기를 잡아주는 생활 관리, 학업을 책임지는 교과 지도, 그리고 최종 합격을 설계하는 입시 전략까지요.",등·하원과 생활 패턴을 꾸준히 관리해주셔서 하루를 계획적으로 보내고 공부 리듬을 잡을 수 있었어요.,attendance,주제 유지 후 길이·표현 통일,55
369,"매주 담임 선생님과 학습 분량을 구체적으로 논의하고 계획하면서, 제가 가야 할 길에 대한 확신을 얻을 수 있었어요.",주간 계획과 일일 계획을 함께 점검받아 공부 시간을 더 효율적으로 사용할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
370,담임 선생님의 세심한 멘탈 케어와 학습 상담이 수험 생활의 큰 버팀목이 되었어요.,상담 과정에서 제 상황에 맞는 조언을 받을 수 있어 수험 생활을 더 안정적으로 이어갈 수 있었어요.,consult,주제 유지 후 길이·표현 통일,55
371,조용하고 차분한 면학 분위기에서 공부에 집중할 수 있었어요.,공부에 방해되는 요소가 줄어든 환경이라 하루 학습 시간을 더 효과적으로 활용할 수 있었어요.,atm,주제 유지 후 길이·표현 통일,51
372,되게 체계적으로 공부한다는 기분이 들었고 어떻게 공부해야할지 막막했는데 딱딱 정해서 이만큼씩 하면 돼요.,체계적인 학습 관리와 안정적인 분위기 덕분에 수험 생활 동안 공부에 집중할 수 있었어요.,general,주제 유지 후 길이·표현 통일,49
373,담임선생님을 배정하여 각자 어떤 방식으로 공부하는지 매주 확인하는 것이 좋은 시스템이었다고 생각했어요.,학습과 생활 전반을 함께 상담해주셔서 공부 외적인 불안까지 정리하고 집중력을 회복할 수 있었어요.,consult,주제 유지 후 길이·표현 통일,54
374,면학 분위기 감독 및 졸음 관리를 선택한 이유는 학습에 집중할 수 있는 환경이 잘 조성되어 있었기 때문이었어요.,수시로 학습 분위기를 점검해주셔서 졸음을 줄이고 더 오래 집중하는 습관을 기를 수 있었어요.,sleep,주제 유지 후 길이·표현 통일,51
375,플래너 관리를 통해 부족한 부분을 보완할 수 있었어요.,선생님의 피드백을 바탕으로 과목별 학습 비중을 조절하며 균형 있게 공부할 수 있었어요.,planner,주제 유지 후 길이·표현 통일,48
376,다른 학원들처럼 딱딱한 분위기가 아닌 편안한 분위기에서 제 의견을 잘 들어주시면서 학습 계획을 짜주셨었어요.,계획을 세우고 실천 여부를 확인하는 과정이 있어 하루를 더 밀도 있게 보낼 수 있었어요.,planner,주제 유지 후 길이·표현 통일,49
